time;thread;label;success;code;latency;bytes;msg
2025-11-19 23:27:46.544;Linear load-ThreadStarter 1-29;Delete movie rating;true;200;196;710;OK
2025-11-19 23:27:46.595;Linear load-ThreadStarter 1-30;Rate movie;true;201;227;635;Created
2025-11-19 23:27:46.829;Linear load-ThreadStarter 1-30;Delete movie rating;true;200;197;710;OK
2025-11-19 23:27:46.745;Linear load-ThreadStarter 1-31;Get user session;true;200;366;712;OK
2025-11-19 23:27:47.114;Linear load-ThreadStarter 1-31;Get popular movies;true;200;80;13421;OK
2025-11-19 23:27:47.199;Linear load-ThreadStarter 1-31;Get movie;true;200;73;2610;OK
2025-11-19 23:27:47.031;Linear load-ThreadStarter 1-32;Get user session;true;200;367;712;OK
2025-11-19 23:27:47.402;Linear load-ThreadStarter 1-32;Get popular movies;true;200;85;13421;OK
2025-11-19 23:27:47.277;Linear load-ThreadStarter 1-31;Rate movie;true;201;212;635;Created
2025-11-19 23:27:47.491;Linear load-ThreadStarter 1-32;Get movie;true;200;82;2088;OK
2025-11-19 23:27:47.495;Linear load-ThreadStarter 1-31;Delete movie rating;true;200;199;710;OK
2025-11-19 23:27:47.577;Linear load-ThreadStarter 1-32;Rate movie;true;201;212;635;Created
2025-11-19 23:27:47.796;Linear load-ThreadStarter 1-32;Delete movie rating;true;200;197;710;OK
2025-11-19 23:27:47.699;Linear load-ThreadStarter 1-33;Get user session;true;200;356;712;OK
2025-11-19 23:27:48.058;Linear load-ThreadStarter 1-33;Get popular movies;true;200;79;13421;OK
2025-11-19 23:27:48.141;Linear load-ThreadStarter 1-33;Get movie;true;200;73;2139;OK
2025-11-19 23:27:48.000;Linear load-ThreadStarter 1-34;Get user session;true;200;357;712;OK
2025-11-19 23:27:48.217;Linear load-ThreadStarter 1-33;Rate movie;true;201;211;635;Created
2025-11-19 23:27:48.361;Linear load-ThreadStarter 1-34;Get popular movies;true;200;80;13421;OK
2025-11-19 23:27:48.444;Linear load-ThreadStarter 1-34;Get movie;true;200;77;2263;OK
2025-11-19 23:27:48.433;Linear load-ThreadStarter 1-33;Delete movie rating;true;200;202;710;OK
2025-11-19 23:27:48.524;Linear load-ThreadStarter 1-34;Rate movie;true;201;209;635;Created
2025-11-19 23:27:48.738;Linear load-ThreadStarter 1-34;Delete movie rating;true;200;210;710;OK
2025-11-19 23:27:48.641;Linear load-ThreadStarter 1-35;Get user session;true;200;384;712;OK
2025-11-19 23:27:49.029;Linear load-ThreadStarter 1-35;Get popular movies;true;200;83;13421;OK
2025-11-19 23:27:49.116;Linear load-ThreadStarter 1-35;Get movie;true;200;75;2291;OK
2025-11-19 23:27:48.954;Linear load-ThreadStarter 1-36;Get user session;true;200;367;712;OK
2025-11-19 23:27:49.325;Linear load-ThreadStarter 1-36;Get popular movies;true;200;79;13421;OK
2025-11-19 23:27:49.194;Linear load-ThreadStarter 1-35;Rate movie;true;201;216;635;Created
2025-11-19 23:27:49.408;Linear load-ThreadStarter 1-36;Get movie;true;200;74;2428;OK
2025-11-19 23:27:49.485;Linear load-ThreadStarter 1-36;Rate movie;true;201;212;635;Created
2025-11-19 23:27:49.416;Linear load-ThreadStarter 1-37;Get user session;true;200;363;712;OK
2025-11-19 23:27:49.782;Linear load-ThreadStarter 1-37;Get popular movies;true;200;82;13421;OK
2025-11-19 23:27:49.868;Linear load-ThreadStarter 1-37;Get movie;true;200;74;2343;OK
2025-11-19 23:27:49.706;Linear load-ThreadStarter 1-38;Get user session;true;200;365;712;OK
2025-11-19 23:27:49.947;Linear load-ThreadStarter 1-37;Rate movie;true;201;208;635;Created
2025-11-19 23:27:50.076;Linear load-ThreadStarter 1-38;Get popular movies;true;200;79;13421;OK
2025-11-19 23:27:50.161;Linear load-ThreadStarter 1-38;Get movie;true;200;97;2291;OK
2025-11-19 23:27:50.159;Linear load-ThreadStarter 1-37;Delete movie rating;true;200;201;710;OK
2025-11-19 23:27:50.263;Linear load-ThreadStarter 1-38;Rate movie;true;201;206;635;Created
2025-11-19 23:27:50.364;Linear load-ThreadStarter 1-39;Get user session;true;200;356;712;OK
2025-11-19 23:27:50.723;Linear load-ThreadStarter 1-39;Get popular movies;true;200;90;13421;OK
2025-11-19 23:27:50.477;Linear load-ThreadStarter 1-40;Get user session;true;200;375;712;OK
2025-11-19 23:27:50.817;Linear load-ThreadStarter 1-39;Get movie;true;200;77;2969;OK
2025-11-19 23:27:50.855;Linear load-ThreadStarter 1-40;Get popular movies;true;200;86;13421;OK
2025-11-19 23:27:50.945;Linear load-ThreadStarter 1-40;Get movie;true;200;75;2969;OK
2025-11-19 23:27:50.897;Linear load-ThreadStarter 1-39;Rate movie;true;201;201;635;Created
